157.55.39.138 - - [12/Jul/2021:00:00:27 -0400] "GET / HTTP/1.1" 301 586 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
216.49.30.192 - - [12/Jul/2021:00:56:02 -0400] "GET /wp-login.php?interim-login=1&wp_lang=en_US HTTP/1.1" 200 2893 "https://www.nepadesigns.com/index.php/fusion_tb_section/custom-homepage-ptb/?fb-edit=1" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:02 -0400] "POST /wp-admin/admin-ajax.php HTTP/1.1" 200 1166 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:03 -0400] "GET /wp-login.php?interim-login=1&wp_lang=en_US HTTP/1.1" 200 2893 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:03 -0400] "GET /wp-includes/css/dashicons.min.css?ver=5.7.2 HTTP/1.1" 200 36222 "https://www.nepadesigns.com/wp-login.php?interim-login=1&wp_lang=en_US" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:03 -0400] "GET /wp-admin/css/forms.min.css?ver=5.7.2 HTTP/1.1" 200 6581 "https://www.nepadesigns.com/wp-login.php?interim-login=1&wp_lang=en_US" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:04 -0400] "GET /wp-admin/css/l10n.min.css?ver=5.7.2 HTTP/1.1" 200 1043 "https://www.nepadesigns.com/wp-login.php?interim-login=1&wp_lang=en_US" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:04 -0400] "GET /wp-admin/css/login.min.css?ver=5.7.2 HTTP/1.1" 200 2426 "https://www.nepadesigns.com/wp-login.php?interim-login=1&wp_lang=en_US" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:04 -0400] "GET /wp-includes/js/jquery/jquery.min.js?ver=3.5.1 HTTP/1.1" 200 31977 "https://www.nepadesigns.com/wp-login.php?interim-login=1&wp_lang=en_US" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:04 -0400] "GET /wp-includes/js/zxcvbn-async.min.js?ver=1.0 HTTP/1.1" 200 1203 "https://www.nepadesigns.com/wp-login.php?interim-login=1&wp_lang=en_US" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:04 -0400] "GET /wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=7.4.4 HTTP/1.1" 200 34748 "https://www.nepadesigns.com/wp-login.php?interim-login=1&wp_lang=en_US" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:04 -0400] "GET /wp-admin/js/password-strength-meter.min.js?ver=5.7.2 HTTP/1.1" 200 7066 "https://www.nepadesigns.com/wp-login.php?interim-login=1&wp_lang=en_US" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:04 -0400] "GET /wp-includes/js/dist/i18n.min.js?ver=db9a9a37da262883343e941c3731bc67 HTTP/1.1" 200 10315 "https://www.nepadesigns.com/wp-login.php?interim-login=1&wp_lang=en_US" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:04 -0400] "GET /wp-includes/js/underscore.min.js?ver=1.8.3 HTTP/1.1" 200 6080 "https://www.nepadesigns.com/wp-login.php?interim-login=1&wp_lang=en_US" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:04 -0400] "GET /wp-admin/js/user-profile.min.js?ver=5.7.2 HTTP/1.1" 200 2716 "https://www.nepadesigns.com/wp-login.php?interim-login=1&wp_lang=en_US" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:04 -0400] "GET /wp-admin/images/wordpress-logo.svg?ver=20131107 HTTP/1.1" 200 1832 "https://www.nepadesigns.com/wp-admin/css/login.min.css?ver=5.7.2" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:04 -0400] "GET /wp-includes/js/zxcvbn.min.js HTTP/1.1" 200 403612 "https://www.nepadesigns.com/wp-login.php?interim-login=1&wp_lang=en_US" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:05 -0400] "POST /wp-login.php HTTP/1.1" 200 1938 "https://www.nepadesigns.com/wp-login.php?interim-login=1&wp_lang=en_US" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:08 -0400] "POST /wp-login.php HTTP/1.1" 200 1938 "https://www.nepadesigns.com/wp-login.php?interim-login=1&wp_lang=en_US" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:08 -0400] "POST /wp-admin/admin-ajax.php HTTP/1.1" 200 691 "https://www.nepadesigns.com/index.php/fusion_tb_section/custom-homepage-ptb/?fb-edit=1" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:13 -0400] "GET /wp-admin/admin.php?page=avada-layouts HTTP/1.1" 200 32617 "https://www.nepadesigns.com/wp-admin/themes.php?page=avada_options" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:15 -0400] "GET /wp-content/plugins/revslider/admin/assets/css/tp-color-picker.css?ver=6.5.2 HTTP/1.1" 200 7387 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:15 -0400] "GET /wp-admin/load-styles.php?c=0&dir=ltr&load%5Bchunk_0%5D=dashicons,admin-bar,common,forms,admin-menu,dashboard,list-tables,edit,revisions,media,themes,about,nav-menus,wp-pointer,widgets&load%5Bchunk_1%5D=,site-icon,l10n,buttons,wp-auth-check,wp-jquery-ui-dialog,wp-color-picker&ver=5.7.2 HTTP/1.1" 200 99414 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:15 -0400] "GET /wp-content/plugins/wordpress-seo/css/dist/admin-global-1661.css HTTP/1.1" 200 5634 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:15 -0400] "GET /wp-content/themes/Avada/assets/admin/css/admin.css?ver=7.4.1 HTTP/1.1" 200 10682 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:15 -0400] "GET /wp-content/themes/Avada/includes/lib/assets/fonts/icomoon-admin/icomoon.css?ver=7.4.1 HTTP/1.1" 200 3455 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:15 -0400] "GET /wp-content/plugins/wordpress-seo/css/dist/wpseo-dismissible-1661.css HTTP/1.1" 200 6786 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:15 -0400] "GET /wp-content/themes/Avada/assets/admin/css/avada-admin.css?ver=7.4.1 HTTP/1.1" 200 19087 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:15 -0400] "GET /wp-content/plugins/wordpress-seo/css/dist/adminbar-1661.css HTTP/1.1" 200 1674 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:15 -0400] "GET /wp-content/plugins/jetpack/css/jetpack-icons.min.css?ver=9.9 HTTP/1.1" 200 735 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:15 -0400] "GET /wp-content/plugins/jetpack/vendor/automattic/jetpack-jitm/src/css/jetpack-admin-jitm.min.css?ver=1.16.1-201243242 HTTP/1.1" 200 2294 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:15 -0400] "GET /wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2 HTTP/1.1" 200 4586 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:15 -0400] "GET /wp-includes/js/jquery/ui/core.min.js?ver=1.12.1 HTTP/1.1" 200 7282 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:15 -0400] "GET /wp-includes/js/backbone.min.js?ver=1.4.0 HTTP/1.1" 200 8304 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:15 -0400] "GET /wp-content/plugins/fusion-builder/inc/admin-screens/layout-builder/layout-options.js?ver=3.4.1 HTTP/1.1" 200 5181 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:15 -0400] "GET /wp-content/plugins/wordpress-seo/js/dist/admin-global-1661.js HTTP/1.1" 200 2352 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:15 -0400] "GET /wp-content/plugins/fusion-builder/js/admin/fusion-builder-admin.js?ver=3.4.1 HTTP/1.1" 200 1532 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:15 -0400] "GET /wp-content/themes/Avada/includes/lib/inc/fusion-app/util.js?ver=3.4.1 HTTP/1.1" 200 884 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:15 -0400] "GET /wp-content/plugins/fusion-builder/inc/admin-screens/layout-builder/layouts.js?ver=3.4.1 HTTP/1.1" 200 1783 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:15 -0400] "GET /wp-content/plugins/fusion-builder/inc/admin-screens/layout-builder/layout.js?ver=3.4.1 HTTP/1.1" 200 2672 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:15 -0400] "GET /wp-content/plugins/fusion-builder/assets/admin/css/fusion-builder-admin.css?ver=3.4.1 HTTP/1.1" 200 7079 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:15 -0400] "GET /wp-admin/js/common.min.js?ver=5.7.2 HTTP/1.1" 200 6945 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:15 -0400] "GET /wp-includes/js/jquery/ui/datepicker.min.js?ver=1.12.1 HTTP/1.1" 200 11182 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:15 -0400] "GET /wp-includes/js/jquery/ui/resizable.min.js?ver=1.12.1 HTTP/1.1" 200 5659 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:15 -0400] "GET /wp-includes/js/jquery/ui/draggable.min.js?ver=1.12.1 HTTP/1.1" 200 5243 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:15 -0400] "GET /wp-content/themes/Avada/changelog.txt HTTP/1.1" 200 128143 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:15 -0400] "GET /wp-content/themes/Avada/assets/images/logo@2x.png HTTP/1.1" 200 6396 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:15 -0400] "GET /wp-includes/js/jquery/ui/sortable.min.js?ver=1.12.1 HTTP/1.1" 200 6858 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:15 -0400] "GET /wp-includes/js/jquery/ui/tabs.min.js?ver=1.12.1 HTTP/1.1" 200 4326 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:15 -0400] "GET /wp-admin/js/iris.min.js?ver=1.0.7 HTTP/1.1" 200 8498 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:15 -0400] "GET /wp-content/themes/Avada/includes/lib/assets/fonts/icomoon-admin/icomoon.woff HTTP/1.1" 200 58797 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:15 -0400] "GET /wp-admin/js/updates.min.js?ver=5.7.2 HTTP/1.1" 200 9396 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:15 -0400] "GET /wp-content/themes/Avada/assets/admin/js/avada-admin-notices.js?ver=7.4.1 HTTP/1.1" 200 944 "https://www.nepadesigns.com/wp-admin/admin.php?page=avada-layouts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
